jtool2 -k /private/preboot/5B9292BD97BF2C2D35B301AAEC8F324899ABAEA67E1696579A7DB4E4C5D80EF00CB6F44278922789D2D06307CFC81EA4/System/Library/Caches/com.apple.kernelcaches/kernelcache
0xfffffff0097b57c8: com.apple.driver.AppleH10CameraInterface (17.33.0)
0xfffffff009809a98: com.apple.driver.AppleEmbeddedAudioResourceManager (500.86)
0xfffffff00980c320: com.apple.driver.AppleBasebandI19 (1.0.0d1)
0xfffffff009818f08: com.apple.driver.AppleActuatorDriver (5100.24)
0xfffffff009821300: com.apple.driver.IOAudioCodecs (1.0.0)
0xfffffff009862f10: com.apple.driver.DiskImages.ReadWriteDiskImage (621)
0xfffffff009863380: com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (132)
0xfffffff00986e9d8: com.apple.driver.AppleBCMWLANCore (1.0.0d1)
0xfffffff009a3ec40: com.apple.driver.AppleBCMWLANBusInterfacePCIe (1.0.0d1)
0xfffffff009a906b8: com.apple.driver.AppleUSBDeviceNCM (5.0.0)
0xfffffff009a96aa8: com.apple.driver.AppleS5L8960XUSB (1.0.0d1)
0xfffffff009a98e80: com.apple.driver.AppleT8011USB (1.0.0d1)
0xfffffff009a9bc00: com.apple.driver.AppleT8027USB (1.0.0d1)
0xfffffff009aa0388: com.apple.driver.AppleFAN53740 (1.0.0d1)
0xfffffff009aa1598: com.apple.file-systems.hfs.kext (1.0.0)
0xfffffff009af3cb0: com.apple.driver.AppleM68Buttons (1.0.0d2)
0xfffffff009afc6f8: com.apple.driver.AppleDialogPMU (1.0.0)
0xfffffff009afe3d0: com.apple.driver.AppleSPMIPMU (1.0.0)
0xfffffff009b07c48: com.apple.driver.AppleUSBDeviceMux (1.0.0d1)
0xfffffff009b0d0a0: com.apple.driver.AOPTouchKext (307.1)
0xfffffff009b0ec58: com.apple.iokit.IOAccessoryPortUSB (1.0.0d1)
0xfffffff009b10d98: com.apple.driver.ApplePinotLCD (1.0.0)
0xfffffff009b11e48: com.apple.driver.BTM (1.0.0d1)
0xfffffff009b1d790: com.apple.filesystems.tmpfs (1.0.0d1)
0xfffffff009b26ed8: com.apple.watchdog (1.0.0d1)
0xfffffff009b2a318: com.apple.driver.AppleT8020DART (1.0.0d1)
0xfffffff009b31690: com.apple.driver.AppleBluetoothModule (1.0.0)
0xfffffff009b382e0: com.apple.driver.AppleUSBEthernetHost (8.1.1)
0xfffffff009b3bd70: com.apple.driver.AppleIDV (1.0)
0xfffffff009b44670: com.apple.AGXFirmwareKextRTBuddy64 (1.0.0d1)
0xfffffff009b46560: com.apple.AGXFirmwareKextG12PRTBuddy (1.0.0d1)
0xfffffff009b46bb0: com.apple.driver.AppleIDAMInterface (1.0)
0xfffffff009b47738: com.apple.driver.AppleCS42L77Audio (500.86)
0xfffffff009b87548: com.apple.driver.AppleDiagnosticDataAccessReadOnly (1.0.0d1)
0xfffffff009b88080: com.apple.iokit.IOMobileGraphicsFamily (1.0.0d1)
0xfffffff009bb9600: com.apple.driver.AppleMobileDispH12P (1.0.0d1)
0xfffffff009c978b0: com.apple.AppleDockChannel (1.0.0d1)
0xfffffff009c9a068: com.apple.driver.AppleHIDTransportFIFO (5100.31)
0xfffffff009cacf98: com.apple.driver.AppleGenericMultitouch (19)
0xfffffff009cb2b50: com.apple.driver.AppleDiskImages2 (1.0)
#
