# zprint
                            elem         cur         max        cur         max         cur  alloc  alloc
zone name                   size        size        size      #elts       #elts       inuse   size  count
-------------------------------------------------------------------------------------------------------------
kalloc.type14.368            368         32K         32K         89          89          17    32K     89  C
kalloc.type0.400             400         32K         32K         81          81           1    32K     81  C
kalloc.type1.400             400         32K         32K         81          81           7    32K     81  C
kalloc.type2.400             400         32K         32K         81          81           4    32K     81  C
kalloc.type3.400             400         32K         32K         81          81           5    32K     81  C
kalloc.type4.400             400         64K         64K        163         163         117    32K     81  C
kalloc.type0.512             512         16K         16K         32          32           5    16K     32  C
kalloc.type1.512             512         16K         16K         32          32          18    16K     32  C
kalloc.type2.512             512         16K         16K         32          32           1    16K     32  C
kalloc.type3.512             512         16K         16K         32          32           6    16K     32  C
kalloc.type4.512             512         16K         16K         32          32           5    16K     32  C
kalloc.type5.512             512         32K         32K         64          64          38    16K     32  C
kalloc.type6.512             512         16K         16K         32          32           7    16K     32  C
kalloc.type7.512             512        192K        192K        384         384         381    16K     32  C
kalloc.type8.512             512         16K         16K         32          32           5    16K     32  C
kalloc.type9.512             512        224K        224K        448         448         433    16K     32  C
kalloc.type10.512            512         16K         16K         32          32           3    16K     32  C
kalloc.type11.512            512         16K         16K         32          32          22    16K     32  C
kalloc.type12.512            512         16K         16K         32          32          18    16K     32  C
kalloc.type0.576             576         16K         16K         28          28          18    16K     28  C
kalloc.type1.576             576         16K         16K         28          28           9    16K     28  C
kalloc.type2.576             576         16K         16K         28          28           4    16K     28  C
kalloc.type3.576             576         16K         16K         28          28           1    16K     28  C
kalloc.type0.768             768         16K         16K         21          21          15    16K     21  C
kalloc.type1.768             768         16K         16K         21          21           6    16K     21  C
kalloc.type2.768             768         16K         16K         21          21           3    16K     21  C
kalloc.type3.768             768         16K         16K         21          21          14    16K     21  C
kalloc.type4.768             768         16K         16K         21          21           3    16K     21  C
kalloc.type5.768             768         32K         32K         42          42          22    16K     21  C
kalloc.type6.768             768         16K         16K         21          21           2    16K     21  C
kalloc.type7.768             768        160K        160K        213         213         208    16K     21  C
kalloc.type0.1024           1024         16K         16K         16          16           6    16K     16  C
kalloc.type1.1024           1024         16K         16K         16          16           3    16K     16  C
kalloc.type2.1024           1024         16K         32K         16          32           5    16K     16  C
kalloc.type3.1024           1024         16K         16K         16          16           2    16K     16  C
kalloc.type4.1024           1024         16K         48K         16          48           2    16K     16  C
kalloc.type5.1024           1024         16K         16K         16          16           0    16K     16  C
kalloc.type6.1024           1024         16K         16K         16          16           9    16K     16  C
kalloc.type0.1152           1152         16K         16K         14          14           1    16K     14  C
kalloc.type1.1152           1152         16K         16K         14          14           1    16K     14  C
kalloc.type2.1152           1152         16K         16K         14          14           3    16K     14  C
kalloc.type3.1152           1152         16K         16K         14          14           3    16K     14  C
kalloc.type4.1152           1152         16K         16K         14          14           1    16K     14  C
kalloc.type0.1280           1280         32K         32K         25          25           3    32K     25  C
kalloc.type1.1280           1280         32K         32K         25          25           4    32K     25  C
kalloc.type2.1280           1280         32K         32K         25          25           4    32K     25  C
kalloc.type3.1280           1280         32K         32K         25          25           3    32K     25  C
kalloc.type0.1664           1664         32K         32K         19          19          12    32K     19  C
kalloc.type1.1664           1664         32K         32K         19          19          10    32K     19  C
kalloc.type2.1664           1664         32K         32K         19          19           2    32K     19  C
kalloc.type3.1664           1664         64K         64K         39          39          25    32K     19  C
kalloc.type0.2048           2048         16K         16K          8           8           5    16K      8  C
kalloc.type1.2048           2048         16K         16K          8           8           1    16K      8  C
kalloc.type2.2048           2048         48K        128K         24          64          20    16K      8  C
kalloc.type0.4096           4096         32K         32K          8           8           5    16K      4  C
kalloc.type1.4096           4096         16K         16K          4           4           2    16K      4  C
kalloc.type2.4096           4096        160K        176K         40          44          38    16K      4  C
kalloc.type3.4096           4096         32K         48K          8          12           6    16K      4  C
kalloc.type4.4096           4096         32K         32K          8           8           5    16K      4  C
kalloc.type5.4096           4096         48K         64K         12          16          10    16K      4  C
kalloc.type6.4096           4096         32K         32K          8           8           4    16K      4  C
kalloc.type7.4096           4096         16K         16K          4           4           4    16K      4  C
kalloc.type0.6144           6144         32K         32K          5           5           4    32K      5  C
kalloc.type1.6144           6144         32K         32K          5           5           2    32K      5  C
kalloc.type2.6144           6144         32K         32K          5           5           1    32K      5  C
kalloc.type3.6144           6144         32K        160K          5          26           3    32K      5  C
